,V_p,A_p,theta,airspeed
550,1929.0,1907.0,0.007046,12.0
551,1924.0,1899.0,0.000973,12.0
552,1926.0,1896.0,-0.005521,12.0
553,1934.0,1899.0,-0.008784,12.0
554,1934.0,1898.0,-0.01192,12.0
555,1920.0,1885.0,-0.016499,12.0
556,1934.0,1889.0,-0.021624,12.0
557,1929.0,1888.0,-0.027329,12.0
558,1940.0,1889.0,-0.033353,12.0
559,1936.0,1883.0,-0.039785,12.0
560,1924.0,1871.0,-0.04619,12.0
561,1932.0,1877.0,-0.053268,12.0
562,1934.0,1875.0,-0.058227,12.0
563,1930.0,1868.0,-0.061389,12.0
564,1929.0,1862.0,-0.065401,12.0
565,1932.0,1867.0,-0.070469,12.0
566,1938.0,1869.0,-0.074876,12.0
567,1921.0,1851.0,-0.080183,12.0
568,1930.0,1857.0,-0.086382,12.0
569,1926.0,1845.0,-0.093038,12.0
570,1932.0,1844.0,-0.099784,12.0
571,1918.0,1845.0,-0.106107,12.0
572,1927.0,1842.0,-0.111869,12.0
573,1916.0,1831.0,-0.117621,12.0
574,1925.0,1830.0,-0.126163,12.0
575,1924.0,1831.0,-0.134353,12.0
576,1917.0,1819.0,-0.141167,12.0
577,1919.0,1819.0,-0.147999,12.0
578,1918.0,1815.0,-0.154345,12.0
579,1927.0,1813.0,-0.161592,12.0
580,1921.0,1813.0,-0.166622,12.0
581,1914.0,1805.0,-0.170056,12.0
582,1916.0,1805.0,-0.175092,12.0
583,1925.0,1805.0,-0.179432,12.0
584,1920.0,1801.0,-0.184477,12.0
585,1911.0,1791.0,-0.189098,12.0
586,1903.0,1783.0,-0.195503,12.0
587,1911.0,1785.0,-0.201517,12.0
588,1907.0,1781.0,-0.208509,12.0
589,1899.0,1776.0,-0.214698,12.0
590,1903.0,1773.0,-0.220681,12.0
591,1893.0,1770.0,-0.226725,12.0
592,1898.0,1769.0,-0.23374,12.0
593,1891.0,1760.0,-0.240562,12.0
594,1892.0,1757.0,-0.248156,12.0
595,1898.0,1759.0,-0.256898,12.0
596,1891.0,1755.0,-0.265627,12.0
597,1891.0,1750.0,-0.271104,12.0
598,1883.0,1749.0,-0.276275,12.0
599,1885.0,1750.0,-0.282226,12.0
600,1887.0,1753.0,-0.285955,12.0
601,1888.0,1755.0,-0.287147,12.0
602,1885.0,1752.0,-0.288098,12.0
603,1886.0,1745.0,-0.290882,12.0
604,1888.0,1756.0,-0.293816,12.0
605,1889.0,1760.0,-0.295657,12.0
606,1882.0,1752.0,-0.295901,12.0
607,1885.0,1753.0,-0.296808,12.0
608,1880.0,1747.0,-0.302263,12.0
609,1871.0,1742.0,-0.308831,12.0
610,1869.0,1738.0,-0.318013,12.0
611,1874.0,1741.0,-0.323272,12.0
612,1873.0,1743.0,-0.326324,12.0
613,1871.0,1741.0,-0.327624,12.0
614,1865.0,1739.0,-0.329163,12.0
615,1861.0,1738.0,-0.333085,12.0
616,1871.0,1745.0,-0.338756,12.0
617,1867.0,1742.0,-0.34158,12.0
618,1863.0,1739.0,-0.341182,12.0
619,1859.0,1732.0,-0.344798,12.0
620,1861.0,1734.0,-0.349552,12.0
621,1864.0,1733.0,-0.354185,12.0
622,1864.0,1736.0,-0.355376,12.0
623,1865.0,1737.0,-0.354505,12.0
624,1853.0,1732.0,-0.354622,12.0
625,1862.0,1737.0,-0.355797,12.0
626,1858.0,1736.0,-0.356241,12.0
627,1848.0,1727.0,-0.358113,12.0
628,1859.0,1733.0,-0.360339,12.0
629,1851.0,1729.0,-0.360165,12.0
630,1848.0,1731.0,-0.359323,12.0
631,1855.0,1738.0,-0.35876,12.0
632,1861.0,1732.0,-0.360964,12.0
633,1858.0,1736.0,-0.363336,12.0
634,1863.0,1743.0,-0.364308,12.0
635,1862.0,1746.0,-0.363123,12.0
636,1859.0,1739.0,-0.361245,12.0
637,1858.0,1742.0,-0.3614,12.0
638,1857.0,1741.0,-0.362899,12.0
639,1867.0,1742.0,-0.362722,12.0
640,1865.0,1746.0,-0.361556,12.0
641,1861.0,1743.0,-0.362468,12.0
642,1860.0,1741.0,-0.36281,12.0
643,1855.0,1744.0,-0.36226,12.0
644,1849.0,1736.0,-0.362001,12.0
645,1866.0,1749.0,-0.360577,12.0
646,1861.0,1745.0,-0.358355,12.0
